      Step     Time          Energy         fmax
BFGS:    0 19:55:29       18.239498       35.0370
BFGS:    1 19:55:29       -0.658937       12.5153
BFGS:    2 19:55:29       -4.001811        8.2225
BFGS:    3 19:55:29       -5.499973        2.5491
BFGS:    4 19:55:29       -5.997297        1.5013
BFGS:    5 19:55:29       -6.196174        0.8625
BFGS:    6 19:55:29       -6.259159        0.7593
BFGS:    7 19:55:29       -6.316070        0.7748
BFGS:    8 19:55:29       -6.421177        0.8010
BFGS:    9 19:55:29       -6.545262        0.9143
BFGS:   10 19:55:29       -6.616429        0.8265
BFGS:   11 19:55:29       -6.716964        1.6169
BFGS:   12 19:55:29       -6.785712        0.6511
BFGS:   13 19:55:29       -6.821967        0.5752
BFGS:   14 19:55:29       -6.941801        1.2914
BFGS:   15 19:55:29       -6.996817        1.1377
BFGS:   16 19:55:29       -7.116070        1.4202
BFGS:   17 19:55:29       -7.268686        1.9164
BFGS:   18 19:55:29       -7.407151        1.3395
BFGS:   19 19:55:29       -7.665353        2.2889
BFGS:   20 19:55:29       -7.532409        2.3990
BFGS:   21 19:55:29       -7.838895        0.7247
BFGS:   22 19:55:29       -7.952255        1.3012
BFGS:   23 19:55:29       -8.055114        1.2016
BFGS:   24 19:55:29       -8.118551        0.4099
BFGS:   25 19:55:29       -8.136913        0.4140
BFGS:   26 19:55:29       -8.164396        0.3972
BFGS:   27 19:55:29       -8.184493        0.4130
BFGS:   28 19:55:29       -8.199816        0.3141
BFGS:   29 19:55:29       -8.214190        0.3006
BFGS:   30 19:55:29       -8.229000        0.3395
BFGS:   31 19:55:29       -8.243753        0.4273
BFGS:   32 19:55:29       -8.264289        0.5233
BFGS:   33 19:55:29       -8.309554        0.5882
BFGS:   34 19:55:29       -8.379306        0.8219
BFGS:   35 19:55:29       -8.328055        1.1670
BFGS:   36 19:55:29       -8.466599        0.9317
BFGS:   37 19:55:29       -8.509099        0.9164
BFGS:   38 19:55:29       -8.599420        0.9859
BFGS:   39 19:55:29       -8.634494        0.6415
BFGS:   40 19:55:29       -8.685932        0.5148
BFGS:   41 19:55:29       -8.719269        0.5957
BFGS:   42 19:55:29       -8.742066        0.4832
BFGS:   43 19:55:29       -8.764741        0.3508
BFGS:   44 19:55:29       -8.773853        0.2561
BFGS:   45 19:55:29       -8.782639        0.2888
BFGS:   46 19:55:29       -8.790795        0.2898
BFGS:   47 19:55:29       -8.797346        0.2139
BFGS:   48 19:55:29       -8.800757        0.1391
BFGS:   49 19:55:29       -8.802003        0.1232
BFGS:   50 19:55:29       -8.802648        0.0817
BFGS:   51 19:55:29       -8.803314        0.0607
BFGS:   52 19:55:29       -8.803945        0.0556
BFGS:   53 19:55:29       -8.804310        0.0469
      Step     Time          Energy         fmax
BFGS:    0 19:55:29       17.736014       33.5312
BFGS:    1 19:55:29        3.967612       16.6966
BFGS:    2 19:55:29       -0.585930       14.1361
BFGS:    3 19:55:29       -3.520073        4.0423
BFGS:    4 19:55:29       -4.314362        2.3485
BFGS:    5 19:55:29       -4.732302        1.0343
BFGS:    6 19:55:29       -4.857541        0.5792
BFGS:    7 19:55:29       -4.891520        0.4057
BFGS:    8 19:55:29       -4.906517        0.3224
BFGS:    9 19:55:29       -4.926187        0.3576
BFGS:   10 19:55:29       -4.958434        0.4055
BFGS:   11 19:55:29       -5.002867        0.4300
BFGS:   12 19:55:29       -5.035108        0.4428
BFGS:   13 19:55:29       -5.048045        0.4585
BFGS:   14 19:55:29       -5.082170        0.3978
BFGS:   15 19:55:29       -5.106861        0.3203
BFGS:   16 19:55:29       -5.138716        0.3511
BFGS:   17 19:55:29       -5.148188        0.3036
BFGS:   18 19:55:29       -5.154804        0.3052
BFGS:   19 19:55:29       -5.164462        0.3169
BFGS:   20 19:55:29       -5.207903        0.3674
BFGS:   21 19:55:29       -5.225681        0.4503
BFGS:   22 19:55:29       -5.261990        0.7415
BFGS:   23 19:55:29       -5.310290        1.0287
BFGS:   24 19:55:29       -5.366172        0.7949
BFGS:   25 19:55:29       -5.459175        0.4064
BFGS:   26 19:55:29       -5.433979        0.8895
BFGS:   27 19:55:29       -5.482457        0.3958
BFGS:   28 19:55:29       -5.489515        0.3934
BFGS:   29 19:55:29       -5.511578        0.3527
BFGS:   30 19:55:29       -5.526069        0.2799
BFGS:   31 19:55:29       -5.545719        0.3552
BFGS:   32 19:55:29       -5.549908        0.2297
BFGS:   33 19:55:29       -5.556160        0.1687
BFGS:   34 19:55:29       -5.561159        0.2035
BFGS:   35 19:55:29       -5.566337        0.2454
BFGS:   36 19:55:29       -5.571492        0.3211
BFGS:   37 19:55:29       -5.581577        0.4019
BFGS:   38 19:55:29       -5.614713        0.6359
BFGS:   39 19:55:29       -5.674712        0.8669
BFGS:   40 19:55:29       -5.682038        0.8732
BFGS:   41 19:55:29       -5.718507        0.8463
BFGS:   42 19:55:30       -5.747978        0.8097
BFGS:   43 19:55:30       -5.953675        0.8687
BFGS:   44 19:55:30       -5.996930        0.5375
BFGS:   45 19:55:30       -6.021500        0.5743
BFGS:   46 19:55:30       -6.036108        0.4636
BFGS:   47 19:55:30       -6.055561        0.4910
BFGS:   48 19:55:30       -6.093762        0.7064
BFGS:   49 19:55:30       -6.192818        1.2072
BFGS:   50 19:55:30       -6.193010        0.8131
BFGS:   51 19:55:30       -6.429005        0.8023
BFGS:   52 19:55:30       -6.585299        0.7530
BFGS:   53 19:55:30       -6.690142        0.7148
BFGS:   54 19:55:30       -6.752037        0.6523
BFGS:   55 19:55:30       -6.781585        0.6236
BFGS:   56 19:55:30       -6.811453        0.5169
BFGS:   57 19:55:30       -6.846206        0.4295
BFGS:   58 19:55:30       -6.885705        0.6396
BFGS:   59 19:55:30       -6.909893        0.6609
BFGS:   60 19:55:30       -6.934510        0.6947
BFGS:   61 19:55:30       -6.989184        0.7550
BFGS:   62 19:55:30       -7.058617        0.8051
BFGS:   63 19:55:30       -7.148262        0.9021
BFGS:   64 19:55:30       -7.297337        1.1873
BFGS:   65 19:55:30       -7.342339        1.3556
BFGS:   66 19:55:30       -7.423485        0.8663
BFGS:   67 19:55:30       -7.470782        0.6306
BFGS:   68 19:55:30       -7.581430        0.7712
BFGS:   69 19:55:30       -7.683426        1.4142
BFGS:   70 19:55:30       -7.755207        0.9343
BFGS:   71 19:55:30       -7.866686        0.6133
BFGS:   72 19:55:30       -8.009518        0.7278
BFGS:   73 19:55:30       -8.058659        0.8115
BFGS:   74 19:55:30       -8.126756        0.7062
BFGS:   75 19:55:30       -8.179169        0.6904
BFGS:   76 19:55:30       -8.226908        0.6060
BFGS:   77 19:55:30       -8.274846        0.5768
BFGS:   78 19:55:30       -8.309626        0.5528
BFGS:   79 19:55:30       -8.366712        0.4619
BFGS:   80 19:55:30       -8.375895        0.4923
BFGS:   81 19:55:30       -8.386860        0.2338
BFGS:   82 19:55:30       -8.390751        0.3250
BFGS:   83 19:55:30       -8.394329        0.2999
BFGS:   84 19:55:30       -8.406918        0.1822
BFGS:   85 19:55:30       -8.418331        0.2284
BFGS:   86 19:55:30       -8.459621        0.4226
BFGS:   87 19:55:30       -8.517622        0.3787
BFGS:   88 19:55:30       -8.396977        1.5829
BFGS:   89 19:55:30       -8.540596        0.4820
BFGS:   90 19:55:30       -8.554400        0.2988
BFGS:   91 19:55:30       -8.572139        0.2403
BFGS:   92 19:55:30       -8.580136        0.2177
BFGS:   93 19:55:30       -8.584737        0.1733
BFGS:   94 19:55:30       -8.586932        0.1585
BFGS:   95 19:55:30       -8.593541        0.1342
BFGS:   96 19:55:30       -8.595626        0.1532
BFGS:   97 19:55:30       -8.606383        0.2012
BFGS:   98 19:55:30       -8.619546        0.3463
BFGS:   99 19:55:30       -8.657365        0.6553
