Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -168.7578    -186.6415      17.8837  1895.3
0.0010        -168.2605    -218.5526      50.2920  5329.8
0.0015        -172.8577    -261.6970      88.8393  9415.0
0.0020        -178.8457    -296.7041     117.8585  12490.3
0.0025        -190.5063    -310.1762     119.6699  12682.3
0.0030        -205.1532    -314.0997     108.9465  11545.9
0.0035        -225.3192    -325.1212      99.8020  10576.8
0.0040        -244.7146    -327.2864      82.5718  8750.7
0.0045        -262.7786    -326.9900      64.2114  6805.0
0.0050        -278.0280    -326.6143      48.5863  5149.1
0.0055        -290.2358    -326.4449      36.2091  3837.3
0.0060        -299.6838    -326.4118      26.7280  2832.6
0.0065        -306.8436    -326.4501      19.6065  2077.8
0.0070        -312.1906    -326.5270      14.3363  1519.3
0.0075        -316.1547    -326.6341      10.4793  1110.6
0.0080        -319.0805    -326.7670       7.6865   814.6
0.0085        -321.2477    -326.9251       5.6773   601.7
0.0090        -322.8621    -327.1011       4.2390   449.2
0.0095        -324.0785    -327.2886       3.2101   340.2
0.0100        -325.0077    -327.4802       2.4725   262.0
0.0105        -325.7288    -327.6690       1.9402   205.6
0.0110        -326.2995    -327.8549       1.5554   164.8
0.0115        -326.7616    -328.0423       1.2807   135.7
0.0120        -327.1473    -328.2387       1.0914   115.7
0.0125        -327.4817    -328.4492       0.9675   102.5
0.0130        -327.7835    -328.6743       0.8908    94.4
0.0135        -328.0651    -328.9087       0.8436    89.4
0.0140        -328.3333    -329.1438       0.8106    85.9
0.0145        -328.5908    -329.3706       0.7798    82.6
0.0150        -328.8369    -329.5792       0.7423    78.7
0.0155        -329.0680    -329.7612       0.6932    73.5
0.0160        -329.2810    -329.9136       0.6326    67.0
0.0165        -329.4717    -330.0364       0.5648    59.9
0.0170        -329.6400    -330.1414       0.5013    53.1
0.0175        -329.7903    -330.2466       0.4563    48.4
0.0180        -329.9304    -330.3689       0.4385    46.5
0.0185        -330.0693    -330.5148       0.4455    47.2
0.0190        -330.2125    -330.6779       0.4654    49.3
0.0195        -330.3614    -330.8471       0.4857    51.5
0.0200        -330.5146    -331.0145       0.4999    53.0
0.0205        -330.6705    -331.1786       0.5081    53.8
0.0210        -330.8274    -331.3417       0.5143    54.5
0.0215        -330.9866    -331.5113       0.5247    55.6
0.0220        -331.1493    -331.6922       0.5429    57.5
0.0225        -331.3185    -331.8893       0.5708    60.5
0.0230        -331.4975    -332.1066       0.6091    64.5
0.0235        -331.6890    -332.3456       0.6566    69.6
0.0240        -331.8950    -332.6082       0.7132    75.6
0.0245        -332.1188    -332.8955       0.7767    82.3
0.0250        -332.3627    -333.2053       0.8426    89.3
0.0255        -332.6253    -333.5325       0.9072    96.1
0.0260        -332.9053    -333.8698       0.9645   102.2
0.0265        -333.2000    -334.2030       1.0030   106.3
0.0270        -333.5017    -334.5082       1.0065   106.7
0.0275        -333.7969    -334.7532       0.9563   101.3
0.0280        -334.0654    -334.9007       0.8353    88.5
0.0285        -334.2845    -334.9289       0.6444    68.3
0.0290        -334.4375    -334.8623       0.4248    45.0
0.0295        -334.5302    -334.7867       0.2566    27.2
0.0300        -334.5945    -334.7978       0.2033    21.5
0.0305        -334.6641    -334.9145       0.2504    26.5
