# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       9.15933995e-16    -1.205309640346e-03     1.944589406653e-03     3.560894497401e-03
          1.24024120      -1.01307851e-15    -1.103905000783e-03     1.944586480037e-03     3.560818688266e-03
          2.48048240      -1.31838984e-15    -1.009095265768e-03     1.944577014070e-03     3.560643506789e-03
          3.72072360      -2.28983499e-15    -9.195906331767e-04     1.944559370853e-03     3.560395565617e-03
          4.96096480       7.63278329e-16    -8.352911023528e-04     1.944550023836e-03     3.560116974773e-03
          6.20120600      -4.30211422e-16    -7.586493538785e-04     1.944557918648e-03     3.559770834649e-03
          7.44144720       1.85962357e-15    -6.908448189531e-04     1.944556067325e-03     3.559305274188e-03
          8.68168840      -6.52256027e-16    -6.326176055960e-04     1.944544841616e-03     3.558731384697e-03
          9.92192960      -5.68989300e-16    -5.856004033031e-04     1.944528456108e-03     3.558076807605e-03
         11.16217080      -1.83186799e-15    -5.503516899412e-04     1.944516903208e-03     3.557342723532e-03
         12.40241200      -7.21644966e-16    -5.270327570122e-04     1.944505976207e-03     3.556539926750e-03
         13.64265320      -2.06779038e-15    -5.158398952743e-04     1.944490402912e-03     3.555687294024e-03
         14.88289440      -2.49800181e-15    -5.165958669933e-04     1.944476629611e-03     3.554804828495e-03
         16.12313560       8.04911693e-16    -5.287600106132e-04     1.944452113444e-03     3.553903664645e-03
         17.36337680       5.41233725e-16    -5.516124954790e-04     1.944429642327e-03     3.553010698792e-03
         18.60361800       1.67921232e-15    -5.844994619948e-04     1.944389174142e-03     3.552136185549e-03
         19.84385921       5.55111512e-17    -6.264260968423e-04     1.944344038872e-03     3.551307837533e-03
         21.08410041      -1.38777878e-16    -6.763604883790e-04     1.944292950181e-03     3.550542587138e-03
         22.32434161      -7.21644966e-16    -7.331538850446e-04     1.944234526140e-03     3.549857794950e-03
         23.56458281       2.08166817e-16    -7.956289397311e-04     1.944171362722e-03     3.549262595891e-03
         24.80482401      -6.93889390e-17    -8.626262315947e-04     1.944102487339e-03     3.548769700289e-03
         26.04506521      -2.38697950e-15    -9.329216791234e-04     1.944036294189e-03     3.548393105577e-03
         27.28530641      -3.46944695e-16    -1.005407193860e-03     1.943981008296e-03     3.548139911667e-03
         28.52554761       2.27595720e-15    -1.078901590904e-03     1.943931843177e-03     3.548019783553e-03
         29.76578881       2.49800181e-16    -1.152378108669e-03     1.943889042014e-03     3.548035431918e-03
         31.00603001      -2.77555756e-17    -1.224742735005e-03     1.943838346730e-03     3.548195176829e-03
         32.24627121       8.88178420e-16    -1.295018567565e-03     1.943776493314e-03     3.548493121861e-03
         33.48651241       1.38777878e-15    -1.362262468681e-03     1.943713167916e-03     3.548930173509e-03
         34.72675361       2.59514632e-15    -1.425684983355e-03     1.943660586126e-03     3.549493279879e-03
         35.96699481      -1.11022302e-15    -1.484619305894e-03     1.943624176742e-03     3.550179650813e-03
         37.20723601       2.77555756e-17    -1.538455122745e-03     1.943591030212e-03     3.550981633787e-03
         38.44747721       1.49880108e-15    -1.586573183286e-03     1.943575406231e-03     3.551902564941e-03
         39.68771841       1.02695630e-15    -1.628321434609e-03     1.943574986430e-03     3.552930076912e-03
         40.92795961      -2.83106871e-15    -1.663253247890e-03     1.943597907684e-03     3.554062989512e-03
         42.16820081       3.05311332e-15    -1.691132836453e-03     1.943629516191e-03     3.555269907358e-03
         43.40844201       4.57966998e-16    -1.711828931479e-03     1.943668133941e-03     3.556518130462e-03
         44.64868321       4.30211422e-16    -1.725231866384e-03     1.943719329864e-03     3.557779948084e-03
         45.88892441      -2.22044605e-16    -1.731321637927e-03     1.943787062918e-03     3.559060898966e-03
         47.12916561      -7.21644966e-16    -1.730183428846e-03     1.943861356757e-03     3.560370650337e-03
         48.36940681       3.88578059e-16    -1.721905925950e-03     1.943929012381e-03     3.561719421357e-03
         49.60964801      -1.81799020e-15    -1.706595706774e-03     1.943996351683e-03     3.563048427652e-03
         50.84988921      -8.88178420e-16    -1.684458296601e-03     1.944082683151e-03     3.564290617872e-03
         52.09013041       9.71445147e-16    -1.655852662714e-03     1.944191861405e-03     3.565460592402e-03
         53.33037161       1.12410081e-15    -1.621400576753e-03     1.944310826111e-03     3.566612640017e-03
         54.57061281      -1.29063427e-15    -1.581770732640e-03     1.944418691673e-03     3.567714527756e-03
         55.81085401       5.82867088e-16    -1.537470645932e-03     1.944509019322e-03     3.568681839847e-03
