# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       9.15933995e-16    -1.205309640346e-03     1.944589406653e-03     3.560894497401e-03
          1.24024120       4.16333634e-17    -1.205326822537e-03     2.046031858969e-03     3.560923577173e-03
          2.48048240      -1.30451205e-15    -1.205348366606e-03     2.140893814078e-03     3.560939514550e-03
          3.72072360       1.60982339e-15    -1.205409439577e-03     2.230478400170e-03     3.560945583738e-03
          4.96096480      -7.07767178e-16    -1.205513336100e-03     2.314897967862e-03     3.561007797572e-03
          6.20120600      -8.32667268e-17    -1.205664914151e-03     2.391716794914e-03     3.561215227126e-03
          7.44144720      -3.19189120e-15    -1.205837505587e-03     2.459781164796e-03     3.561662516996e-03
          8.68168840       9.02056208e-16    -1.206032696606e-03     2.518298264234e-03     3.562332216898e-03
          9.92192960       2.49800181e-15    -1.206246733783e-03     2.565646931806e-03     3.563189758809e-03
         11.16217080       5.13478149e-16    -1.206476370632e-03     2.601263324030e-03     3.564269391316e-03
         12.40241200      -1.52655666e-16    -1.206718749103e-03     2.624975601296e-03     3.565547921011e-03
         13.64265320      -2.77555756e-16    -1.206962065159e-03     2.636661142188e-03     3.566985997107e-03
         14.88289440       1.83186799e-15    -1.207208808713e-03     2.636326255219e-03     3.568582704703e-03
         16.12313560       1.19348975e-15    -1.207448935032e-03     2.624581491789e-03     3.570302328980e-03
         17.36337680       2.08166817e-16    -1.207689532352e-03     2.602138470589e-03     3.572075931177e-03
         18.60361800       9.43689571e-16    -1.207905123881e-03     2.569635637186e-03     3.573841217569e-03
         19.84385921      -5.13478149e-16    -1.208102161599e-03     2.528060531007e-03     3.575537449409e-03
         21.08410041      -8.74300632e-16    -1.208280087185e-03     2.478442072285e-03     3.577118479710e-03
         22.32434161      -2.98372438e-15    -1.208432790477e-03     2.421919076537e-03     3.578529222887e-03
         23.56458281       6.66133815e-16    -1.208562533791e-03     2.359665469666e-03     3.579737245368e-03
         24.80482401      -6.10622664e-16    -1.208670191598e-03     2.292838418062e-03     3.580675117309e-03
         26.04506521       2.77555756e-16    -1.208749905962e-03     2.222650726462e-03     3.581308032216e-03
         27.28530641      -1.40165657e-15    -1.208806617196e-03     2.150201897662e-03     3.581585311745e-03
         28.52554761       1.52655666e-16    -1.208831468074e-03     2.076689077921e-03     3.581505112661e-03
         29.76578881       1.17961196e-15    -1.208834326144e-03     2.003158140996e-03     3.581037912039e-03
         31.00603001       1.94289029e-16    -1.208814721026e-03     1.930700494231e-03     3.580183467228e-03
         32.24627121       1.15185639e-15    -1.208777540942e-03     1.860251347312e-03     3.578930084017e-03
         33.48651241       9.71445147e-17    -1.208718913875e-03     1.792717133260e-03     3.577289737951e-03
         34.72675361       1.66533454e-16    -1.208638484067e-03     1.728909157694e-03     3.575272214816e-03
         35.96699481       1.29063427e-15    -1.208534670143e-03     1.669565098688e-03     3.572909571924e-03
         37.20723601       2.37310172e-15    -1.208410845058e-03     1.615322103429e-03     3.570223368448e-03
         38.44747721       1.04083409e-15    -1.208270202457e-03     1.566803200088e-03     3.567228639835e-03
         39.68771841      -7.63278329e-16    -1.208113931686e-03     1.524583129164e-03     3.563932494745e-03
         40.92795961      -6.93889390e-17    -1.207940550610e-03     1.489104030943e-03     3.560389984967e-03
         42.16820081      -4.16333634e-17    -1.207760237948e-03     1.460652983265e-03     3.556677937830e-03
         43.40844201       1.59594560e-15    -1.207576377712e-03     1.439400297041e-03     3.552879926700e-03
         44.64868321      -1.48492330e-15    -1.207391311294e-03     1.425422256932e-03     3.549041416066e-03
         45.88892441       6.93889390e-17    -1.207201723255e-03     1.418755660382e-03     3.545204101192e-03
         47.12916561       1.54043445e-15    -1.207022132437e-03     1.419380604203e-03     3.541385723435e-03
         48.36940681       1.24900090e-16    -1.206858456283e-03     1.427203224237e-03     3.537600496644e-03
         49.60964801      -2.63677968e-16    -1.206703910437e-03     1.442093139257e-03     3.533896734970e-03
         50.84988921       1.36002321e-15    -1.206548297171e-03     1.463832377361e-03     3.530330051804e-03
         52.09013041      -1.09634524e-15    -1.206390884156e-03     1.492016364571e-03     3.526971995606e-03
         53.33037161      -3.05311332e-15    -1.206241632519e-03     1.526031154413e-03     3.523914196423e-03
         54.57061281      -9.43689571e-16    -1.206111749256e-03     1.565290086826e-03     3.521232625181e-03
         55.81085401       1.05471187e-15    -1.206011215943e-03     1.609289299036e-03     3.518952526002e-03
         57.05109521       3.05311332e-16    -1.205922893166e-03     1.657532182445e-03     3.517073604288e-03
         58.29133642       6.52256027e-16    -1.205833608166e-03     1.709400128129e-03     3.515650897486e-03
         59.53157762       1.22124533e-15    -1.205764131671e-03     1.764071286639e-03     3.514773972603e-03
         60.77181882       9.71445147e-17    -1.205729527731e-03     1.820709449462e-03     3.514449019371e-03
         62.01206002      -1.24900090e-15    -1.205707513178e-03     1.878549206308e-03     3.514659367419e-03
         63.25230122      -1.24900090e-16    -1.205691953579e-03     1.936832392542e-03     3.515396964059e-03
         64.49254242       1.38777878e-16    -1.205692088373e-03     1.994780280088e-03     3.516680367235e-03
         65.73278362      -5.55111512e-16    -1.205721224491e-03     2.051612136698e-03     3.518462513990e-03
