# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -2.2804696917e-03    -0.0000000000e+00    -0.0000000000e+00
    0.100000    -4.9708671185e-03    -0.0000000000e+00    -0.0000000000e+00
    0.150000    -5.1638373604e-03    -0.0000000000e+00    -0.0000000000e+00
    0.200000    -4.7242524875e-03    -0.0000000000e+00    -0.0000000000e+00
    0.250000    -4.4847939138e-03    -0.0000000000e+00    -0.0000000000e+00
    0.300000    -4.4843611946e-03    -0.0000000000e+00    -0.0000000000e+00
    0.350000    -4.4303500728e-03    -0.0000000000e+00    -0.0000000000e+00
    0.400000    -4.4285213080e-03    -0.0000000000e+00    -0.0000000000e+00
    0.450000    -4.3231809916e-03    -0.0000000000e+00    -0.0000000000e+00
    0.500000    -4.3456538455e-03    -0.0000000000e+00    -0.0000000000e+00
    0.550000    -4.3628973632e-03    -0.0000000000e+00    -0.0000000000e+00
    0.600000    -4.4191862851e-03    -0.0000000000e+00    -0.0000000000e+00
    0.650000    -4.5362127243e-03    -0.0000000000e+00    -0.0000000000e+00
    0.700000    -4.5777879868e-03    -0.0000000000e+00    -0.0000000000e+00
    0.750000    -4.7708957309e-03    -0.0000000000e+00    -0.0000000000e+00
    0.800000    -4.7093674855e-03    -0.0000000000e+00    -0.0000000000e+00
    0.850000    -4.8880397072e-03    -0.0000000000e+00    -0.0000000000e+00
    0.900000    -4.8733243955e-03    -0.0000000000e+00    -0.0000000000e+00
    0.950000    -5.2219344472e-03    -0.0000000000e+00    -0.0000000000e+00
    1.000000    -5.2626798355e-03    -0.0000000000e+00    -0.0000000000e+00
    1.050000    -4.3753281677e-03    -0.0000000000e+00    -0.0000000000e+00
    1.100000     6.9940790915e-03    -0.0000000000e+00    -0.0000000000e+00
    1.150000     5.5578624697e-02    -0.0000000000e+00    -0.0000000000e+00
    1.200000     1.3931794144e-01     0.0000000000e+00    -0.0000000000e+00
    1.250000     1.6550903385e-01     0.0000000000e+00    -0.0000000000e+00
    1.300000     9.5807071267e-02     0.0000000000e+00    -0.0000000000e+00
    1.350000     2.4447241770e-02     0.0000000000e+00    -0.0000000000e+00
    1.400000    -3.7702899896e-03    -0.0000000000e+00    -0.0000000000e+00
    1.450000    -8.7085046230e-03    -0.0000000000e+00    -0.0000000000e+00
    1.500000     2.8384262331e-03    -0.0000000000e+00    -0.0000000000e+00
    1.550000     5.0702974473e-02     0.0000000000e+00    -0.0000000000e+00
    1.600000     1.3446382974e-01     0.0000000000e+00    -0.0000000000e+00
    1.650000     3.1611972029e-01     0.0000000000e+00    -0.0000000000e+00
    1.700000     7.5973050777e-01     0.0000000000e+00     0.0000000000e+00
    1.750000     1.2180200853e+00     0.0000000000e+00     0.0000000000e+00
    1.800000     1.1274386798e+00    -0.0000000000e+00     0.0000000000e+00
    1.850000     5.9728814977e-01    -0.0000000000e+00     0.0000000000e+00
    1.900000     1.7718423147e-01     0.0000000000e+00    -0.0000000000e+00
    1.950000     2.1501135181e-02     0.0000000000e+00    -0.0000000000e+00
    2.000000    -7.4967618971e-03    -0.0000000000e+00    -0.0000000000e+00
