# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00    -2.0129853367e-04    -0.0000000000e+00
    0.100000    -0.0000000000e+00    -4.4320516720e-04    -0.0000000000e+00
    0.150000    -0.0000000000e+00    -4.5280199407e-04     0.0000000000e+00
    0.200000    -0.0000000000e+00    -4.4077833410e-04     0.0000000000e+00
    0.250000    -0.0000000000e+00    -4.2050470683e-04     0.0000000000e+00
    0.300000    -0.0000000000e+00    -5.1088118350e-04     0.0000000000e+00
    0.350000    -0.0000000000e+00    -5.0159903148e-04     0.0000000000e+00
    0.400000    -0.0000000000e+00    -4.9463869652e-04     0.0000000000e+00
    0.450000    -0.0000000000e+00    -3.8474423157e-04     0.0000000000e+00
    0.500000    -0.0000000000e+00    -3.9386191632e-04     0.0000000000e+00
    0.550000    -0.0000000000e+00    -3.6383797641e-04     0.0000000000e+00
    0.600000    -0.0000000000e+00    -3.5088041933e-04     0.0000000000e+00
    0.650000    -0.0000000000e+00    -4.2449784507e-04     0.0000000000e+00
    0.700000    -0.0000000000e+00    -4.3399264139e-04     0.0000000000e+00
    0.750000    -0.0000000000e+00    -5.4496976282e-04     0.0000000000e+00
    0.800000    -0.0000000000e+00    -3.9447084409e-04     0.0000000000e+00
    0.850000    -0.0000000000e+00    -4.5572103995e-04     0.0000000000e+00
    0.900000    -0.0000000000e+00    -3.1459044136e-04     0.0000000000e+00
    0.950000    -0.0000000000e+00    -4.5301847742e-04     0.0000000000e+00
    1.000000    -0.0000000000e+00    -1.9164715511e-04     0.0000000000e+00
    1.050000    -0.0000000000e+00     1.6124772086e-03     0.0000000000e+00
    1.100000    -0.0000000000e+00     1.6209643523e-02     0.0000000000e+00
    1.150000     0.0000000000e+00     6.9329739923e-02     0.0000000000e+00
    1.200000     0.0000000000e+00     1.4671102676e-01     0.0000000000e+00
    1.250000     0.0000000000e+00     1.5530139751e-01     0.0000000000e+00
    1.300000     0.0000000000e+00     8.1353679666e-02     0.0000000000e+00
    1.350000     0.0000000000e+00     1.9017723371e-02     0.0000000000e+00
    1.400000    -0.0000000000e+00    -2.2233121515e-03     0.0000000000e+00
    1.450000    -0.0000000000e+00    -2.4945024811e-03     0.0000000000e+00
    1.500000    -0.0000000000e+00     1.6791977239e-02     0.0000000000e+00
    1.550000     0.0000000000e+00     7.3864703024e-02     0.0000000000e+00
    1.600000     0.0000000000e+00     1.5603304215e-01     0.0000000000e+00
    1.650000     0.0000000000e+00     3.2512927276e-01     0.0000000000e+00
    1.700000     0.0000000000e+00     7.5454680334e-01     0.0000000000e+00
    1.750000     0.0000000000e+00     1.1885717291e+00     0.0000000000e+00
    1.800000    -0.0000000000e+00     1.0784985365e+00     0.0000000000e+00
    1.850000    -0.0000000000e+00     5.6176161761e-01     0.0000000000e+00
    1.900000    -0.0000000000e+00     1.6714998195e-01     0.0000000000e+00
    1.950000    -0.0000000000e+00     3.3889646442e-02     0.0000000000e+00
    2.000000    -0.0000000000e+00     4.1080468450e-02     0.0000000000e+00
    2.050000    -0.0000000000e+00     9.8609499695e-02     0.0000000000e+00
    2.100000     0.0000000000e+00     1.2691445179e-01     0.0000000000e+00
    2.150000     0.0000000000e+00     8.1062185528e-02     0.0000000000e+00
    2.200000     0.0000000000e+00     2.6540979597e-02     0.0000000000e+00
    2.250000     0.0000000000e+00     1.4075164428e-02     0.0000000000e+00
    2.300000     0.0000000000e+00     8.5238360826e-02     0.0000000000e+00
    2.350000     0.0000000000e+00     3.8447784482e-01     0.0000000000e+00
    2.400000     0.0000000000e+00     9.0947278098e-01     0.0000000000e+00
    2.450000    -0.0000000000e+00     1.3079293376e+00     0.0000000000e+00
