# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00     0.0000000000e+00    -4.5779760866e-03
    0.100000    -0.0000000000e+00     0.0000000000e+00    -9.9452456262e-03
    0.150000    -0.0000000000e+00     0.0000000000e+00    -1.0301772112e-02
    0.200000    -0.0000000000e+00     0.0000000000e+00    -9.3020276219e-03
    0.250000    -0.0000000000e+00     0.0000000000e+00    -8.8356247150e-03
    0.300000    -0.0000000000e+00     0.0000000000e+00    -8.6683713513e-03
    0.350000    -0.0000000000e+00     0.0000000000e+00    -8.6328355877e-03
    0.400000    -0.0000000000e+00     0.0000000000e+00    -8.6556523612e-03
    0.450000    -0.0000000000e+00     0.0000000000e+00    -8.7679900677e-03
    0.500000    -0.0000000000e+00     0.0000000000e+00    -8.8530224550e-03
    0.550000    -0.0000000000e+00     0.0000000000e+00    -8.8033060525e-03
    0.600000    -0.0000000000e+00     0.0000000000e+00    -8.7480133779e-03
    0.650000    -0.0000000000e+00     0.0000000000e+00    -8.7013282942e-03
    0.700000    -0.0000000000e+00     0.0000000000e+00    -8.8552034663e-03
    0.750000    -0.0000000000e+00     0.0000000000e+00    -9.0732771875e-03
    0.800000    -0.0000000000e+00     0.0000000000e+00    -9.4312294355e-03
    0.850000    -0.0000000000e+00     0.0000000000e+00    -9.6771227211e-03
    0.900000    -0.0000000000e+00     0.0000000000e+00    -9.9004778500e-03
    0.950000    -0.0000000000e+00     0.0000000000e+00    -1.0067749566e-02
    1.000000    -0.0000000000e+00     0.0000000000e+00    -1.0171849704e-02
    1.050000    -0.0000000000e+00     0.0000000000e+00    -9.9747875984e-03
    1.100000    -0.0000000000e+00     0.0000000000e+00    -9.6272904964e-03
    1.150000    -0.0000000000e+00     0.0000000000e+00    -9.4403752586e-03
    1.200000     0.0000000000e+00     0.0000000000e+00    -7.7909527578e-03
    1.250000     0.0000000000e+00     0.0000000000e+00    -6.4035214578e-03
    1.300000     0.0000000000e+00     0.0000000000e+00    -7.6347802356e-03
    1.350000    -0.0000000000e+00     0.0000000000e+00    -9.1675434196e-03
    1.400000    -0.0000000000e+00     0.0000000000e+00    -7.1833004039e-03
    1.450000    -0.0000000000e+00     0.0000000000e+00     4.7945267939e-03
    1.500000    -0.0000000000e+00     0.0000000000e+00     3.4067614182e-02
    1.550000    -0.0000000000e+00     0.0000000000e+00     5.6632338445e-02
