      Step     Time          Energy         fmax
BFGS:    0 10:13:06      -93.505845        6.5329
BFGS:    1 10:14:11      -93.639445        2.4996
BFGS:    2 10:14:57      -93.675723        0.6790
BFGS:    3 10:15:42      -93.689443        0.6686
BFGS:    4 10:16:32      -93.710575        1.4460
BFGS:    5 10:17:25      -93.745271        2.0068
BFGS:    6 10:18:18      -93.775942        1.9335
BFGS:    7 10:19:11      -93.803979        1.4600
BFGS:    8 10:20:04      -93.828664        0.6995
BFGS:    9 10:20:57      -93.851391        0.5657
BFGS:   10 10:21:46      -93.870001        0.9697
BFGS:   11 10:22:36      -93.883071        0.7933
BFGS:   12 10:23:17      -93.886988        0.3495
BFGS:   13 10:23:51      -93.888410        0.0656
