      Step     Time          Energy         fmax
BFGS:    0 22:20:28      -82.337798        2.4309
BFGS:    1 22:21:21      -82.449050        2.3919
BFGS:    2 22:22:14      -82.573625        2.3738
BFGS:    3 22:23:03      -82.691909        2.2387
BFGS:    4 22:23:56      -82.800912        2.0414
BFGS:    5 22:24:48      -82.898381        1.7668
BFGS:    6 22:25:37      -82.983788        1.5438
BFGS:    7 22:26:30      -83.057883        1.3099
BFGS:    8 22:27:23      -83.120280        1.0002
BFGS:    9 22:28:13      -83.171078        0.7405
BFGS:   10 22:29:06      -83.212658        0.8613
BFGS:   11 22:29:58      -83.249485        0.9196
BFGS:   12 22:30:49      -83.286145        0.8825
BFGS:   13 22:31:34      -83.319505        0.8124
BFGS:   14 22:32:19      -83.352159        0.7592
BFGS:   15 22:33:12      -83.382800        0.7451
BFGS:   16 22:34:05      -83.409359        0.7563
BFGS:   17 22:34:58      -83.432630        0.7287
BFGS:   18 22:35:51      -83.453486        0.6865
BFGS:   19 22:36:44      -83.470733        0.6387
BFGS:   20 22:37:33      -83.490509        0.6168
BFGS:   21 22:38:19      -83.516260        0.6424
BFGS:   22 22:39:11      -83.545521        0.6315
BFGS:   23 22:40:00      -83.569837        0.4794
BFGS:   24 22:40:49      -83.579227        0.2962
BFGS:   25 22:41:34      -83.586631        0.2116
BFGS:   26 22:42:15      -83.593856        0.2043
BFGS:   27 22:43:01      -83.600323        0.2319
BFGS:   28 22:43:46      -83.604375        0.2380
BFGS:   29 22:44:27      -83.608366        0.1524
BFGS:   30 22:45:08      -83.612060        0.1070
BFGS:   31 22:45:42      -83.614103        0.1166
BFGS:   32 22:46:15      -83.615297        0.1018
BFGS:   33 22:46:49      -83.616611        0.0885
