      Step     Time          Energy         fmax
BFGS:    0 10:26:15     -177.198378        7.9646
BFGS:    1 10:27:56     -177.424616        1.9018
BFGS:    2 10:29:06     -177.507864        1.4322
BFGS:    3 10:30:26     -177.671821        1.3535
BFGS:    4 10:31:47     -177.833936        1.9172
BFGS:    5 10:33:07     -177.994344        2.4558
BFGS:    6 10:34:29     -178.147701        2.8999
BFGS:    7 10:35:51     -178.278806        3.1740
BFGS:    8 10:37:11     -178.374040        3.2311
BFGS:    9 10:38:32     -178.423115        3.0099
BFGS:   10 10:39:32     -178.441535        2.8611
BFGS:   11 10:40:53     -178.494982        2.5187
BFGS:   12 10:42:15     -178.522596        1.9635
BFGS:   13 10:43:16     -178.534195        1.9175
BFGS:   14 10:44:37     -178.564677        1.5442
BFGS:   15 10:45:47     -178.579673        1.1846
BFGS:   16 10:47:03     -178.595909        0.7460
BFGS:   17 10:48:09     -178.605707        0.6619
BFGS:   18 10:49:14     -178.618403        0.4662
BFGS:   19 10:50:29     -178.632260        0.4413
BFGS:   20 10:51:45     -178.642470        0.5053
BFGS:   21 10:52:45     -178.649468        0.2688
BFGS:   22 10:53:45     -178.653520        0.2330
BFGS:   23 10:54:40     -178.657891        0.2089
BFGS:   24 10:56:02     -178.668717        0.2021
BFGS:   25 10:57:14     -178.671250        0.1603
BFGS:   26 10:58:09     -178.673329        0.1204
BFGS:   27 10:58:59     -178.674614        0.1253
BFGS:   28 10:59:55     -178.675793        0.0917
