      Step     Time          Energy         fmax
BFGS:    0 23:08:36     -166.003141        3.4692
BFGS:    1 23:09:58     -166.206885        3.4630
BFGS:    2 23:11:19     -166.408896        3.6235
BFGS:    3 23:12:30     -166.604841        3.4952
BFGS:    4 23:13:41     -166.791408        3.3650
BFGS:    5 23:14:52     -166.964541        3.0976
BFGS:    6 23:16:08     -167.123099        2.8340
BFGS:    7 23:17:24     -167.267895        2.6563
BFGS:    8 23:18:35     -167.397290        2.2983
BFGS:    9 23:19:56     -167.505292        1.8539
BFGS:   10 23:21:17     -167.589637        1.3188
BFGS:   11 23:22:38     -167.652333        0.8537
BFGS:   12 23:23:54     -167.702294        0.6530
BFGS:   13 23:24:55     -167.745642        0.7075
BFGS:   14 23:26:11     -167.782144        0.7172
BFGS:   15 23:27:22     -167.813951        0.8138
BFGS:   16 23:28:33     -167.845396        0.8866
BFGS:   17 23:29:44     -167.876752        0.8813
BFGS:   18 23:30:55     -167.908073        0.8655
BFGS:   19 23:32:06     -167.938042        0.8480
BFGS:   20 23:33:18     -167.968010        0.7843
BFGS:   21 23:34:29     -168.008388        0.7725
BFGS:   22 23:35:39     -168.051473        0.7907
BFGS:   23 23:36:55     -168.095708        0.6785
BFGS:   24 23:38:12     -168.133897        0.2935
BFGS:   25 23:39:18     -168.142389        0.2646
BFGS:   26 23:40:29     -168.153173        0.3605
BFGS:   27 23:41:40     -168.163869        0.2073
BFGS:   28 23:42:51     -168.172635        0.1197
BFGS:   29 23:43:35     -168.174776        0.0888
