      Step     Time          Energy         fmax
BFGS:    0 11:02:08     -198.048292        8.8894
BFGS:    1 11:03:27     -198.337172        1.3827
BFGS:    2 11:04:31     -198.427092        1.2573
BFGS:    3 11:05:54     -198.593580        1.4052
BFGS:    4 11:07:17     -198.743972        1.4988
BFGS:    5 11:08:36     -198.875535        1.5063
BFGS:    6 11:09:55     -198.968027        1.1873
BFGS:    7 11:11:13     -199.005653        0.6053
BFGS:    8 11:12:14     -199.017092        0.5421
BFGS:    9 11:13:28     -199.041852        0.5209
BFGS:   10 11:14:34     -199.049003        0.3828
BFGS:   11 11:15:30     -199.054391        0.2431
BFGS:   12 11:16:31     -199.062347        0.3685
BFGS:   13 11:17:45     -199.074153        0.6111
BFGS:   14 11:19:00     -199.081090        0.5451
BFGS:   15 11:19:52     -199.085430        0.3317
BFGS:   16 11:20:53     -199.090823        0.2178
BFGS:   17 11:21:40     -199.093141        0.2737
BFGS:   18 11:22:23     -199.094995        0.1523
BFGS:   19 11:23:15     -199.096514        0.0864
