      Step     Time          Energy         fmax
BFGS:    0 00:07:30     -187.487012        3.8498
BFGS:    1 00:08:40     -187.701455        3.6947
BFGS:    2 00:09:49     -187.904358        3.5725
BFGS:    3 00:10:59     -188.095545        3.4896
BFGS:    4 00:12:08     -188.277416        3.4752
BFGS:    5 00:13:18     -188.445388        3.2548
BFGS:    6 00:14:28     -188.594754        2.8802
BFGS:    7 00:15:37     -188.722050        2.4457
BFGS:    8 00:16:46     -188.827116        2.0529
BFGS:    9 00:17:52     -188.914664        1.7859
BFGS:   10 00:18:57     -188.984687        1.3656
BFGS:   11 00:20:02     -189.036421        0.9636
BFGS:   12 00:21:07     -189.074382        0.7710
BFGS:   13 00:22:12     -189.107244        0.8227
BFGS:   14 00:23:18     -189.140311        0.8939
BFGS:   15 00:24:22     -189.174126        0.9424
BFGS:   16 00:25:27     -189.204862        0.9894
BFGS:   17 00:26:28     -189.233186        1.0223
BFGS:   18 00:27:35     -189.258039        0.9812
BFGS:   19 00:28:41     -189.281204        0.8324
BFGS:   20 00:29:47     -189.303464        0.5523
BFGS:   21 00:30:53     -189.322877        0.4431
BFGS:   22 00:31:58     -189.335774        0.4202
BFGS:   23 00:33:00     -189.344787        0.3317
BFGS:   24 00:34:05     -189.353344        0.2042
BFGS:   25 00:34:52     -189.355567        0.1321
BFGS:   26 00:35:40     -189.356388        0.1351
BFGS:   27 00:36:23     -189.357414        0.1085
BFGS:   28 00:37:05     -189.358749        0.0524
