      Step     Time          Energy         fmax
BFGS:    0 15:48:31      -92.692519        6.5985
BFGS:    1 15:49:42      -92.831061        2.4318
BFGS:    2 15:50:29      -92.866244        0.6744
BFGS:    3 15:51:16      -92.880773        0.6797
BFGS:    4 15:52:07      -92.904059        1.5066
BFGS:    5 15:53:07      -92.938762        2.0038
BFGS:    6 15:54:02      -92.970906        1.9919
BFGS:    7 15:54:57      -92.997139        1.6754
BFGS:    8 15:55:53      -93.015429        0.8432
BFGS:    9 15:56:36      -93.025781        0.2550
BFGS:   10 15:57:31      -93.042480        0.9987
BFGS:   11 15:58:22      -93.053324        1.1738
BFGS:   12 15:59:13      -93.066450        0.8351
BFGS:   13 16:00:04      -93.074312        0.3062
BFGS:   14 16:00:51      -93.080469        0.4821
BFGS:   15 16:01:42      -93.088099        0.8512
BFGS:   16 16:02:33      -93.098225        0.9196
BFGS:   17 16:03:24      -93.103165        0.5325
BFGS:   18 16:04:07      -93.105661        0.0850
