      Step     Time          Energy         fmax
BFGS:    0 17:07:57      -81.553001        2.6535
BFGS:    1 17:08:47      -81.683330        2.6051
BFGS:    2 17:09:38      -81.816121        2.5369
BFGS:    3 17:10:32      -81.944214        2.4774
BFGS:    4 17:11:27      -82.068824        2.4308
BFGS:    5 17:12:17      -82.187579        2.3131
BFGS:    6 17:13:12      -82.297635        2.1187
BFGS:    7 17:14:03      -82.397672        1.8814
BFGS:    8 17:14:50      -82.488271        1.7071
BFGS:    9 17:15:36      -82.571661        1.5675
BFGS:   10 17:16:26      -82.646934        1.3402
BFGS:   11 17:17:17      -82.713277        1.0679
BFGS:   12 17:18:08      -82.771618        0.8390
BFGS:   13 17:18:59      -82.824335        0.8992
BFGS:   14 17:19:46      -82.874557        0.9270
BFGS:   15 17:20:32      -82.920295        0.9253
BFGS:   16 17:21:19      -82.960838        0.8736
BFGS:   17 17:22:13      -82.996527        0.7507
BFGS:   18 17:23:04      -83.026974        0.5823
BFGS:   19 17:23:51      -83.052943        0.4971
BFGS:   20 17:24:37      -83.070988        0.3638
BFGS:   21 17:25:23      -83.079546        0.1997
BFGS:   22 17:25:58      -83.084623        0.1591
BFGS:   23 17:26:44      -83.091251        0.1278
BFGS:   24 17:27:19      -83.093674        0.1949
BFGS:   25 17:27:58      -83.096342        0.1664
BFGS:   26 17:28:40      -83.099986        0.0887
