      Step     Time          Energy         fmax
BFGS:    0 16:06:30     -176.512852        8.6399
BFGS:    1 16:08:10     -176.782455        1.5100
BFGS:    2 16:09:28     -176.897230        1.6042
BFGS:    3 16:10:57     -177.097124        1.7382
BFGS:    4 16:12:25     -177.286905        1.7924
BFGS:    5 16:13:55     -177.455412        1.7435
BFGS:    6 16:15:24     -177.588572        1.5425
BFGS:    7 16:16:53     -177.671994        1.1406
BFGS:    8 16:18:18     -177.700530        0.6023
BFGS:    9 16:19:14     -177.714900        0.4663
BFGS:   10 16:20:28     -177.740060        0.4994
BFGS:   11 16:21:53     -177.755074        0.3660
BFGS:   12 16:22:55     -177.760015        0.2516
BFGS:   13 16:23:57     -177.767573        0.3840
BFGS:   14 16:25:10     -177.778411        0.5002
BFGS:   15 16:26:23     -177.783363        0.3360
BFGS:   16 16:27:14     -177.785128        0.1468
BFGS:   17 16:28:05     -177.786399        0.1956
BFGS:   18 16:29:01     -177.787631        0.3248
BFGS:   19 16:29:58     -177.788960        0.2251
BFGS:   20 16:30:54     -177.789648        0.0499
