      Step     Time          Energy         fmax
BFGS:    0 17:31:18     -165.109959        3.5358
BFGS:    1 17:32:30     -165.307717        3.5564
BFGS:    2 17:33:48     -165.502302        3.6070
BFGS:    3 17:35:05     -165.694018        3.6031
BFGS:    4 17:36:18     -165.880390        3.5153
BFGS:    5 17:37:30     -166.059526        3.3731
BFGS:    6 17:38:42     -166.230655        3.2486
BFGS:    7 17:39:54     -166.393669        3.1310
BFGS:    8 17:41:07     -166.545937        2.9048
BFGS:    9 17:42:25     -166.684638        2.6355
BFGS:   10 17:43:43     -166.807874        2.2949
BFGS:   11 17:44:45     -166.915934        2.0025
BFGS:   12 17:46:03     -167.011003        1.6837
BFGS:   13 17:47:05     -167.091816        1.3483
BFGS:   14 17:48:07     -167.157720        0.9729
BFGS:   15 17:49:26     -167.209159        0.7018
BFGS:   16 17:50:39     -167.247931        0.6630
BFGS:   17 17:51:52     -167.277610        0.5609
BFGS:   18 17:53:06     -167.298296        0.5194
BFGS:   19 17:54:18     -167.312729        0.4302
BFGS:   20 17:55:31     -167.327656        0.3118
BFGS:   21 17:56:44     -167.338616        0.3125
BFGS:   22 17:57:51     -167.348243        0.2666
BFGS:   23 17:58:53     -167.355212        0.2681
BFGS:   24 17:59:55     -167.361913        0.1567
BFGS:   25 18:00:57     -167.366327        0.0769
