      Step     Time          Energy         fmax
BFGS:    0 16:33:16     -197.897283        8.9523
BFGS:    1 16:34:49     -198.189470        1.3476
BFGS:    2 16:35:54     -198.276345        1.2460
BFGS:    3 16:37:18     -198.444132        1.5720
BFGS:    4 16:38:37     -198.598522        1.5902
BFGS:    5 16:39:55     -198.721351        1.4066
BFGS:    6 16:41:15     -198.792693        1.0381
BFGS:    7 16:42:35     -198.813329        0.6007
BFGS:    8 16:43:37     -198.824380        0.4925
BFGS:    9 16:44:51     -198.851355        0.5047
BFGS:   10 16:45:56     -198.861209        0.4323
BFGS:   11 16:47:10     -198.869161        0.3423
BFGS:   12 16:48:11     -198.877719        0.3298
BFGS:   13 16:49:29     -198.899770        0.4615
BFGS:   14 16:50:34     -198.908078        0.3131
BFGS:   15 16:51:21     -198.911111        0.1250
BFGS:   16 16:52:08     -198.913293        0.1424
BFGS:   17 16:52:56     -198.914829        0.2251
BFGS:   18 16:53:45     -198.916223        0.1237
BFGS:   19 16:54:28     -198.916557        0.0482
