      Step     Time          Energy         fmax
BFGS:    0 18:03:21     -187.291313        3.8000
BFGS:    1 18:04:31     -187.500589        3.6733
BFGS:    2 18:05:36     -187.699690        3.6582
BFGS:    3 18:06:45     -187.892290        3.7449
BFGS:    4 18:07:54     -188.090870        3.6585
BFGS:    5 18:09:04     -188.280493        3.4192
BFGS:    6 18:10:15     -188.448813        3.0782
BFGS:    7 18:11:24     -188.591897        2.7366
BFGS:    8 18:12:34     -188.713667        2.5317
BFGS:    9 18:13:44     -188.816913        2.1184
BFGS:   10 18:14:51     -188.896999        1.6185
BFGS:   11 18:15:57     -188.957444        1.0880
BFGS:   12 18:17:02     -189.005030        0.8504
BFGS:   13 18:18:07     -189.045152        0.7737
BFGS:   14 18:19:13     -189.079422        0.6539
BFGS:   15 18:20:18     -189.104631        0.5669
BFGS:   16 18:21:32     -189.123099        0.4794
BFGS:   17 18:22:38     -189.134879        0.3302
BFGS:   18 18:23:43     -189.144099        0.2806
BFGS:   19 18:24:39     -189.149510        0.2583
BFGS:   20 18:25:36     -189.156280        0.2031
BFGS:   21 18:26:41     -189.162331        0.1432
BFGS:   22 18:27:42     -189.165335        0.0891
